freq_GHz,a,b,D,C,p_opt1,p_opt2,sigma2_1,sigma2_2,mu
170.00,2.9915,2.9915,500,413098317.808888,1.000000,0.000000,0.000000,0.000000,1.101301
170.00,3.0010,3.0010,500,405213977.988931,0.919617,0.080383,0.000000,0.000000,1.026868
170.00,3.0105,3.0105,500,411532502.361860,0.723373,0.276627,0.000000,0.000000,0.839597
170.00,3.0200,3.0200,500,424580888.158657,0.624806,0.375194,0.000000,0.000000,0.753996
170.00,3.0295,3.0295,500,435933668.348356,0.564524,0.435476,0.000000,0.000000,0.712282
170.00,3.0390,3.0390,500,442230142.785831,0.520095,0.479905,0.000000,0.000000,0.694744
170.00,3.0485,3.0485,500,442240024.503455,0.519970,0.480030,0.000000,0.000000,0.694718
170.00,3.0581,3.0581,500,435904195.730047,0.564684,0.435316,0.000000,0.000000,0.712372
170.00,3.0676,3.0676,500,424374399.784777,0.625982,0.374018,0.000000,0.000000,0.754928
170.00,3.0771,3.0771,500,411125918.693621,0.728012,0.271988,0.000000,0.000000,0.843863
170.00,3.0866,3.0866,500,405408000.366107,0.937556,0.062444,0.000000,0.000000,1.044370
170.00,3.0961,3.0961,500,413750823.682528,1.000000,0.000000,0.000000,0.000000,1.100882
170.00,3.1056,3.1056,500,419141360.673957,1.000000,0.000000,0.000000,0.000000,1.097487
170.00,3.1151,3.1151,500,421015777.438696,1.000000,0.000000,0.000000,0.000000,1.096336
170.00,3.1246,3.1246,500,419372501.114523,1.000000,0.000000,0.000000,0.000000,1.097345
170.00,3.1341,3.1341,500,414151871.147859,1.000000,0.000000,0.000000,0.000000,1.100625
170.00,3.1436,3.1436,500,405606458.059957,0.950915,0.049085,0.000000,0.000000,1.057426
170.00,3.1532,3.1532,500,410889603.930358,0.730799,0.269201,0.000000,0.000000,0.846433
170.00,3.1627,3.1627,500,424477028.656096,0.625395,0.374605,0.000000,0.000000,0.754463
170.00,3.1722,3.1722,500,436287807.537317,0.562579,0.437421,0.000000,0.000000,0.711212
170.00,3.1817,3.1817,500,442485321.467605,0.516609,0.483391,0.000000,0.000000,0.694092
170.00,3.1912,3.1912,500,441754253.641233,0.525423,0.474577,0.000000,0.000000,0.695969
170.00,3.2007,3.2007,500,434165781.015481,0.573965,0.426035,0.000000,0.000000,0.717790
170.00,3.2102,3.2102,500,421349119.445441,0.644028,0.355972,0.000000,0.000000,0.769611
170.00,3.2197,3.2197,500,408210474.348263,0.769128,0.230872,0.000000,0.000000,0.882186
170.00,3.2292,3.2292,500,408007683.177333,1.000000,0.000000,0.000000,0.000000,1.104640
